"two_year_recid","sex","age","race","priors_count","juv_fel_count","juv_misd_count","charge","violent","risk_recidivism_score","hand","height"
"Did reoffend","Males",47,"Caucasians",3,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",3,"Right-handed individuals",5.57068542434447
"Did reoffend","Males",21,"African-Americans",1,0,0,"Individuals convicted of a Felony","Non-violent offences",4,"Right-handed individuals",5.50416831003206
"Did not reoffend","Males",24,"Hispanics",0,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",8,"Right-handed individuals",6.25478353203076
"Did reoffend","Males",20,"Hispanics",3,0,0,"Individuals convicted of a Felony","Non-violent offences",10,"Right-handed individuals",5.99251856170592
"Did reoffend","Males",22,"African-Americans",0,0,0,"Individuals convicted of a Felony","Non-violent offences",3,"Right-handed individuals",5.6329575120131
"Did reoffend","Males",21,"African-Americans",3,0,1,"Individuals convicted of a Misdemeanor","Non-violent offences",8,"Right-handed individuals",6.03872128064079
"Did reoffend","Males",42,"African-Americans",0,0,0,"Individuals convicted of a Felony","Non-violent offences",5,"Right-handed individuals",5.867517573941
"Did reoffend","Males",27,"Hispanics",8,0,1,"Individuals convicted of a Felony","Non-violent offences",5,"Right-handed individuals",5.49124545182093
"Did not reoffend","Males",32,"Caucasians",1,0,0,"Individuals convicted of a Felony","Non-violent offences",3,"Right-handed individuals",5.62919406296859
"Did reoffend","Males",52,"African-Americans",17,0,0,"Individuals convicted of a Felony","Non-violent offences",7,"Right-handed individuals",6.11842658626429
"Did not reoffend","Males",38,"African-Americans",0,0,0,"Individuals convicted of a Felony","Non-violent offences",5,"Right-handed individuals",6.03611458460742
"Did not reoffend","Males",35,"African-Americans",1,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",1,"Right-handed individuals",5.69626639761362
"Did not reoffend","Females",37,"African-Americans",2,0,0,"Individuals convicted of a Felony","Non-violent offences",1,"Right-handed individuals",6.04542633963199
"Did reoffend","Females",24,"African-Americans",0,0,0,"Individuals convicted of a Felony","Violent offences",4,"Left-handed individuals",5.44908770071717
"Did not reoffend","Males",23,"Caucasians",0,0,0,"Individuals convicted of a Felony","Non-violent offences",2,"Right-handed individuals",5.68281187810066
"Did not reoffend","Males",30,"Hispanics",0,0,0,"Individuals convicted of a Felony","Non-violent offences",1,"Right-handed individuals",5.54686023334123
"Did not reoffend","Males",32,"African-Americans",9,2,1,"Individuals convicted of a Felony","Non-violent offences",10,"Right-handed individuals",5.93613155130195
"Did reoffend","Males",29,"African-Americans",1,0,0,"Individuals convicted of a Felony","Violent offences",4,"Left-handed individuals",5.62799161271939
"Did not reoffend","Males",35,"Hispanics",5,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",2,"Right-handed individuals",5.74112626432373
"Did not reoffend","Males",40,"Others",1,0,0,"Individuals convicted of a Felony","Non-violent offences",1,"Right-handed individuals",5.40685554801713
"Did reoffend","Males",57,"African-Americans",0,0,0,"Individuals convicted of a Felony","Non-violent offences",1,"Right-handed individuals",5.65597240846759
"Did reoffend","Males",29,"African-Americans",0,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",2,"Right-handed individuals",5.44526245755657
"Did not reoffend","Females",25,"African-Americans",1,0,0,"Individuals convicted of a Felony","Non-violent offences",3,"Right-handed individuals",5.83516996952193
"Did not reoffend","Females",26,"African-Americans",0,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",9,"Right-handed individuals",5.97708037278115
"Did reoffend","Females",20,"Others",0,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",5,"Right-handed individuals",5.78024390413002
"Did not reoffend","Males",34,"Caucasians",5,0,0,"Individuals convicted of a Felony","Non-violent offences",1,"Right-handed individuals",5.60260809013919
"Did reoffend","Females",27,"African-Americans",3,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",5,"Right-handed individuals",5.64364204395267
"Did reoffend","Males",31,"Caucasians",2,0,0,"Individuals convicted of a Felony","Non-violent offences",3,"Right-handed individuals",5.54472017799445
"Did not reoffend","Males",55,"Caucasians",1,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",1,"Right-handed individuals",5.79688106461146
"Did not reoffend","Males",47,"Others",0,0,0,"Individuals convicted of a Felony","Non-violent offences",1,"Right-handed individuals",5.71802714962728
"Did not reoffend","Males",52,"Caucasians",0,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",1,"Right-handed individuals",5.58700332618562
"Did reoffend","Females",33,"Caucasians",0,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",6,"Right-handed individuals",5.72407311852545
"Did reoffend","Females",53,"African-Americans",10,0,0,"Individuals convicted of a Felony","Non-violent offences",2,"Right-handed individuals",5.82560957427619
"Did not reoffend","Females",30,"Others",1,0,0,"Individuals convicted of a Felony","Non-violent offences",2,"Right-handed individuals",5.51577581512526
"Did reoffend","Males",27,"African-Americans",0,0,0,"Individuals convicted of a Felony","Violent offences",8,"Left-handed individuals",5.98320340197592
"Did not reoffend","Males",36,"African-Americans",2,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",2,"Right-handed individuals",5.38748066603714
"Did reoffend","Males",27,"Caucasians",5,0,0,"Individuals convicted of a Felony","Non-violent offences",6,"Right-handed individuals",5.69588093183313
"Did reoffend","Males",24,"African-Americans",8,0,2,"Individuals convicted of a Felony","Violent offences",9,"Left-handed individuals",5.90503275174694
"Did reoffend","Males",30,"Caucasians",22,0,0,"Individuals convicted of a Felony","Non-violent offences",5,"Right-handed individuals",5.52536931029128
"Did not reoffend","Males",58,"Caucasians",1,0,0,"Individuals convicted of a Felony","Non-violent offences",1,"Right-handed individuals",5.30978429735479
"Did reoffend","Females",28,"African-Americans",6,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",5,"Right-handed individuals",5.63052465728596
"Did not reoffend","Females",46,"African-Americans",0,0,0,"Individuals convicted of a Felony","Non-violent offences",1,"Right-handed individuals",5.86258773343932
"Did not reoffend","Males",39,"African-Americans",2,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",2,"Right-handed individuals",5.68164202847075
"Did not reoffend","Females",20,"African-Americans",0,0,0,"Individuals convicted of a Felony","Non-violent offences",5,"Right-handed individuals",5.77033828678291
"Did not reoffend","Males",34,"Others",0,0,0,"Individuals convicted of a Felony","Non-violent offences",2,"Right-handed individuals",5.86621272665848
"Did not reoffend","Males",33,"African-Americans",1,0,0,"Individuals convicted of a Felony","Non-violent offences",5,"Right-handed individuals",5.26458077087425
"Did reoffend","Males",24,"African-Americans",0,0,0,"Individuals convicted of a Felony","Non-violent offences",9,"Right-handed individuals",6.11105070860942
"Did not reoffend","Females",24,"African-Americans",0,0,0,"Individuals convicted of a Felony","Non-violent offences",7,"Right-handed individuals",5.97893307430535
"Did reoffend","Males",29,"Caucasians",7,0,0,"Individuals convicted of a Misdemeanor","Violent offences",10,"Left-handed individuals",5.63842672659062
"Did not reoffend","Males",36,"African-Americans",6,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",4,"Right-handed individuals",5.69202651865791
"Did reoffend","Males",32,"Caucasians",0,0,0,"Individuals convicted of a Felony","Violent offences",1,"Left-handed individuals",5.43681474729452
"Did reoffend","Males",47,"African-Americans",0,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",1,"Right-handed individuals",5.37618086613242
"Did not reoffend","Males",42,"African-Americans",0,0,0,"Individuals convicted of a Felony","Non-violent offences",1,"Right-handed individuals",5.7608396608577
"Did not reoffend","Males",39,"Caucasians",3,0,0,"Individuals convicted of a Felony","Non-violent offences",3,"Right-handed individuals",5.73838758786433
"Did reoffend","Males",24,"African-Americans",2,0,0,"Individuals convicted of a Misdemeanor","Violent offences",9,"Left-handed individuals",5.9302522392356
"Did reoffend","Males",25,"African-Americans",8,0,0,"Individuals convicted of a Felony","Non-violent offences",8,"Right-handed individuals",6.21289484143961
"Did not reoffend","Males",37,"African-Americans",2,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",1,"Right-handed individuals",5.71574619971138
"Did not reoffend","Males",51,"Hispanics",1,0,0,"Individuals convicted of a Felony","Non-violent offences",1,"Right-handed individuals",5.51449871610091
"Did not reoffend","Males",61,"Hispanics",0,0,0,"Individuals convicted of a Felony","Non-violent offences",1,"Right-handed individuals",5.94034552788234
"Did not reoffend","Males",40,"Caucasians",4,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",1,"Right-handed individuals",5.13137948786157
"Did not reoffend","Females",24,"Hispanics",1,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",3,"Right-handed individuals",5.64542651111773
"Did not reoffend","Males",32,"Others",1,0,0,"Individuals convicted of a Felony","Non-violent offences",1,"Right-handed individuals",5.67042775819211
"Did reoffend","Males",36,"African-Americans",14,10,0,"Individuals convicted of a Felony","Non-violent offences",7,"Right-handed individuals",5.85381045431391
"Did reoffend","Males",51,"African-Americans",12,0,0,"Individuals convicted of a Felony","Violent offences",8,"Left-handed individuals",5.94513384975299
"Did reoffend","Males",36,"African-Americans",5,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",8,"Right-handed individuals",5.9177428332446
"Did not reoffend","Males",24,"African-Americans",1,0,0,"Individuals convicted of a Felony","Non-violent offences",7,"Right-handed individuals",6.06066283247561
"Did not reoffend","Males",46,"Caucasians",0,0,0,"Individuals convicted of a Felony","Non-violent offences",1,"Right-handed individuals",5.29201754694897
"Did not reoffend","Males",27,"African-Americans",0,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",1,"Right-handed individuals",5.5507902073886
"Did reoffend","Females",43,"African-Americans",2,0,0,"Individuals convicted of a Felony","Non-violent offences",2,"Right-handed individuals",5.78635204721033
"Did reoffend","Males",23,"African-Americans",1,0,0,"Individuals convicted of a Felony","Violent offences",6,"Left-handed individuals",5.60575005288217
"Did not reoffend","Males",26,"Caucasians",1,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",2,"Right-handed individuals",5.37204001517047
"Did not reoffend","Males",23,"Hispanics",0,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",7,"Right-handed individuals",5.90200277392332
"Did reoffend","Males",26,"African-Americans",0,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",2,"Right-handed individuals",5.78752928688121
"Did reoffend","Males",26,"African-Americans",4,0,0,"Individuals convicted of a Felony","Non-violent offences",8,"Right-handed individuals",6.12357818013235
"Did not reoffend","Males",37,"African-Americans",17,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",9,"Right-handed individuals",5.7978213508431
"Did not reoffend","Males",40,"African-Americans",20,0,0,"Individuals convicted of a Felony","Non-violent offences",7,"Right-handed individuals",5.59205825007879
"Did reoffend","Females",24,"Caucasians",3,0,1,"Individuals convicted of a Misdemeanor","Non-violent offences",5,"Right-handed individuals",5.83556200107837
"Did not reoffend","Males",22,"African-Americans",0,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",8,"Right-handed individuals",6.03872136969362
"Did not reoffend","Males",57,"African-Americans",19,0,0,"Individuals convicted of a Felony","Non-violent offences",3,"Right-handed individuals",5.62806315393455
"Did not reoffend","Females",54,"Caucasians",1,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",2,"Right-handed individuals",5.60822837951448
"Did reoffend","Males",24,"Hispanics",0,0,0,"Individuals convicted of a Felony","Non-violent offences",1,"Right-handed individuals",5.56607612634567
"Did reoffend","Males",23,"African-Americans",1,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",3,"Right-handed individuals",5.73569341334309
"Did reoffend","Males",29,"African-Americans",5,0,0,"Individuals convicted of a Felony","Non-violent offences",5,"Right-handed individuals",5.58282059298656
"Did not reoffend","Males",42,"African-Americans",7,0,0,"Individuals convicted of a Felony","Non-violent offences",1,"Right-handed individuals",5.30461263975161
"Did reoffend","Males",26,"African-Americans",5,0,0,"Individuals convicted of a Felony","Violent offences",7,"Left-handed individuals",6.11420390120351
"Did not reoffend","Males",27,"African-Americans",0,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",2,"Right-handed individuals",5.69568075319082
"Did not reoffend","Males",24,"Caucasians",0,0,0,"Individuals convicted of a Felony","Non-violent offences",4,"Right-handed individuals",5.9465286484083
"Did not reoffend","Males",25,"Caucasians",2,0,0,"Individuals convicted of a Felony","Non-violent offences",6,"Right-handed individuals",5.61550236032119
"Did reoffend","Females",40,"Hispanics",7,0,0,"Individuals convicted of a Felony","Non-violent offences",2,"Right-handed individuals",6.04215486662653
"Did not reoffend","Males",53,"Caucasians",1,0,0,"Individuals convicted of a Misdemeanor","Violent offences",5,"Left-handed individuals",5.7508698072767
"Did not reoffend","Males",60,"Others",1,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",1,"Right-handed individuals",5.38425476469197
"Did not reoffend","Males",30,"Caucasians",0,0,0,"Individuals convicted of a Felony","Non-violent offences",4,"Right-handed individuals",5.94983855747614
"Did reoffend","Males",29,"African-Americans",5,0,0,"Individuals convicted of a Felony","Non-violent offences",7,"Right-handed individuals",5.89873474948345
"Did reoffend","Females",23,"African-Americans",2,0,0,"Individuals convicted of a Felony","Non-violent offences",10,"Right-handed individuals",6.16107315656339
"Did not reoffend","Females",41,"Caucasians",1,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",2,"Right-handed individuals",5.57880634683133
"Did reoffend","Females",27,"Caucasians",4,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",8,"Right-handed individuals",5.89552839712686
"Did reoffend","Males",29,"Caucasians",6,0,0,"Individuals convicted of a Felony","Violent offences",5,"Left-handed individuals",5.75318643605721
"Did reoffend","Males",26,"Caucasians",2,0,0,"Individuals convicted of a Felony","Non-violent offences",3,"Right-handed individuals",5.57413604746308
"Did reoffend","Males",24,"African-Americans",2,0,0,"Individuals convicted of a Misdemeanor","Violent offences",3,"Left-handed individuals",5.69420904893468
"Did not reoffend","Males",31,"Hispanics",0,0,0,"Individuals convicted of a Felony","Non-violent offences",10,"Right-handed individuals",6.37957919469304
"Did not reoffend","Males",28,"African-Americans",3,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",2,"Right-handed individuals",5.94471814386379
"Did not reoffend","Males",59,"Caucasians",2,0,0,"Individuals convicted of a Felony","Non-violent offences",1,"Right-handed individuals",5.51613434971193
"Did not reoffend","Females",55,"Caucasians",0,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",1,"Right-handed individuals",5.7067996024783
"Did not reoffend","Females",53,"Caucasians",0,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",1,"Right-handed individuals",5.40079714943458
"Did not reoffend","Males",52,"Hispanics",3,0,0,"Individuals convicted of a Felony","Non-violent offences",4,"Right-handed individuals",5.58391259067508
"Did not reoffend","Males",25,"African-Americans",2,0,0,"Individuals convicted of a Felony","Non-violent offences",4,"Right-handed individuals",5.65393514799272
"Did not reoffend","Males",38,"Caucasians",12,0,0,"Individuals convicted of a Felony","Non-violent offences",5,"Right-handed individuals",6.0374759569775
"Did not reoffend","Males",42,"African-Americans",2,0,0,"Individuals convicted of a Felony","Non-violent offences",5,"Right-handed individuals",5.96627868563351
"Did not reoffend","Males",29,"Caucasians",1,0,0,"Individuals convicted of a Felony","Non-violent offences",4,"Right-handed individuals",5.63006931485934
"Did reoffend","Males",39,"Caucasians",10,0,0,"Individuals convicted of a Felony","Non-violent offences",8,"Right-handed individuals",6.0389029220812
"Did not reoffend","Males",35,"African-Americans",0,0,0,"Individuals convicted of a Felony","Non-violent offences",4,"Right-handed individuals",5.65565394081552
"Did not reoffend","Females",31,"Caucasians",0,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",2,"Right-handed individuals",5.7571497059132
"Did not reoffend","Males",37,"Caucasians",0,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",1,"Right-handed individuals",5.51313720349085
"Did not reoffend","Males",42,"Caucasians",0,0,0,"Individuals convicted of a Felony","Non-violent offences",4,"Right-handed individuals",5.67096312549149
"Did not reoffend","Males",47,"African-Americans",1,0,0,"Individuals convicted of a Felony","Non-violent offences",1,"Right-handed individuals",5.56679423373225
"Did not reoffend","Males",27,"African-Americans",10,0,0,"Individuals convicted of a Felony","Non-violent offences",9,"Right-handed individuals",5.97996701642887
"Did not reoffend","Males",25,"Others",0,0,0,"Individuals convicted of a Felony","Non-violent offences",4,"Right-handed individuals",5.72147479444343
"Did not reoffend","Males",36,"Others",0,0,0,"Individuals convicted of a Felony","Non-violent offences",1,"Right-handed individuals",5.85116323716365
"Did reoffend","Males",39,"African-Americans",1,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",2,"Right-handed individuals",5.63626600173252
"Did reoffend","Males",28,"African-Americans",11,0,0,"Individuals convicted of a Felony","Violent offences",6,"Left-handed individuals",5.97338393421511
"Did reoffend","Males",40,"Caucasians",0,0,0,"Individuals convicted of a Misdemeanor","Violent offences",1,"Left-handed individuals",5.68369750825409
"Did not reoffend","Males",35,"African-Americans",1,0,0,"Individuals convicted of a Felony","Non-violent offences",2,"Right-handed individuals",5.36506817117221
"Did not reoffend","Males",35,"Asians",0,0,0,"Individuals convicted of a Felony","Non-violent offences",6,"Right-handed individuals",5.71616410218001
"Did reoffend","Males",22,"Others",1,0,0,"Individuals convicted of a Felony","Non-violent offences",4,"Right-handed individuals",5.55985874914293
"Did reoffend","Males",28,"Hispanics",16,0,0,"Individuals convicted of a Felony","Non-violent offences",10,"Right-handed individuals",5.75386849716191
"Did reoffend","Females",36,"African-Americans",3,0,0,"Individuals convicted of a Felony","Non-violent offences",6,"Right-handed individuals",5.9105519625312
"Did reoffend","Females",24,"Caucasians",9,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",10,"Right-handed individuals",6.13067555309352
"Did not reoffend","Males",37,"Caucasians",13,1,6,"Individuals convicted of a Felony","Non-violent offences",7,"Right-handed individuals",5.7270518112106
"Did reoffend","Males",32,"African-Americans",10,0,0,"Individuals convicted of a Felony","Non-violent offences",6,"Right-handed individuals",6.09021678961328
"Did not reoffend","Males",67,"African-Americans",8,0,0,"Individuals convicted of a Felony","Non-violent offences",4,"Right-handed individuals",5.72601456344009
"Did not reoffend","Males",25,"Caucasians",4,0,0,"Individuals convicted of a Felony","Non-violent offences",6,"Right-handed individuals",6.08571169738287
"Did not reoffend","Males",50,"African-Americans",4,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",5,"Right-handed individuals",5.89334311803746
"Did not reoffend","Females",39,"Caucasians",1,0,0,"Individuals convicted of a Felony","Non-violent offences",4,"Right-handed individuals",5.50399775975546
"Did not reoffend","Males",32,"Caucasians",2,0,0,"Individuals convicted of a Felony","Non-violent offences",2,"Right-handed individuals",5.68377574955853
"Did not reoffend","Males",29,"African-Americans",2,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",1,"Right-handed individuals",5.48203489080453
"Did reoffend","Females",24,"African-Americans",2,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",7,"Right-handed individuals",6.09583769589732
"Did not reoffend","Females",22,"Caucasians",2,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",5,"Right-handed individuals",5.52406711388053
"Did not reoffend","Males",37,"Hispanics",9,0,0,"Individuals convicted of a Felony","Non-violent offences",5,"Right-handed individuals",5.71770586280457
"Did reoffend","Females",31,"African-Americans",2,0,0,"Individuals convicted of a Felony","Non-violent offences",2,"Right-handed individuals",5.3364493016163
"Did reoffend","Males",35,"African-Americans",22,0,0,"Individuals convicted of a Felony","Violent offences",10,"Left-handed individuals",5.78621786471689
"Did not reoffend","Males",32,"Hispanics",0,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",2,"Right-handed individuals",5.48839947807874
"Did not reoffend","Males",32,"African-Americans",1,0,0,"Individuals convicted of a Felony","Non-violent offences",2,"Right-handed individuals",5.60287509075857
"Did not reoffend","Females",33,"African-Americans",1,0,0,"Individuals convicted of a Felony","Non-violent offences",2,"Right-handed individuals",5.60965901296537
"Did reoffend","Males",54,"African-Americans",12,0,0,"Individuals convicted of a Misdemeanor","Violent offences",5,"Left-handed individuals",5.83322538016271
"Did reoffend","Males",21,"African-Americans",1,0,0,"Individuals convicted of a Felony","Non-violent offences",10,"Right-handed individuals",5.92035714234963
"Did not reoffend","Males",34,"Caucasians",0,0,0,"Individuals convicted of a Felony","Non-violent offences",5,"Right-handed individuals",5.30907001660524
"Did reoffend","Males",28,"African-Americans",2,0,0,"Individuals convicted of a Felony","Non-violent offences",4,"Right-handed individuals",5.46159493951443
"Did not reoffend","Males",43,"Caucasians",0,0,0,"Individuals convicted of a Felony","Non-violent offences",1,"Right-handed individuals",5.63609018769268
"Did reoffend","Males",58,"African-Americans",16,0,0,"Individuals convicted of a Felony","Non-violent offences",6,"Right-handed individuals",5.38168545600441
"Did reoffend","Males",60,"Caucasians",0,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",1,"Right-handed individuals",5.45320324341567
"Did not reoffend","Females",36,"Hispanics",1,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",3,"Right-handed individuals",5.79187955149517
"Did not reoffend","Males",50,"Caucasians",1,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",2,"Right-handed individuals",5.37887781597976
"Did not reoffend","Females",24,"African-Americans",0,0,0,"Individuals convicted of a Felony","Non-violent offences",4,"Right-handed individuals",5.74702373564498
"Did reoffend","Females",21,"Caucasians",0,0,0,"Individuals convicted of a Felony","Violent offences",6,"Left-handed individuals",5.84878877026152
"Did not reoffend","Males",29,"African-Americans",0,0,0,"Individuals convicted of a Felony","Non-violent offences",2,"Right-handed individuals",5.62592089982404
"Did not reoffend","Males",36,"African-Americans",5,0,0,"Individuals convicted of a Felony","Non-violent offences",4,"Right-handed individuals",5.61183185134808
"Did reoffend","Females",32,"African-Americans",3,0,0,"Individuals convicted of a Felony","Non-violent offences",2,"Right-handed individuals",5.71431020844515
"Did not reoffend","Males",31,"African-Americans",5,1,0,"Individuals convicted of a Misdemeanor","Non-violent offences",8,"Right-handed individuals",5.87074103098248
"Did reoffend","Males",24,"African-Americans",2,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",4,"Right-handed individuals",5.81119126247019
"Did reoffend","Males",26,"African-Americans",24,0,1,"Individuals convicted of a Felony","Violent offences",10,"Left-handed individuals",5.92622589024928
"Did not reoffend","Males",51,"African-Americans",3,0,0,"Individuals convicted of a Felony","Non-violent offences",7,"Right-handed individuals",5.99606862193705
"Did reoffend","Males",24,"African-Americans",2,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",9,"Right-handed individuals",5.75014826378861
"Did reoffend","Males",23,"African-Americans",2,0,1,"Individuals convicted of a Felony","Non-violent offences",6,"Right-handed individuals",5.79131726354775
"Did not reoffend","Males",53,"Caucasians",1,0,0,"Individuals convicted of a Felony","Non-violent offences",1,"Right-handed individuals",5.76064604319716
"Did not reoffend","Males",52,"Others",0,0,0,"Individuals convicted of a Felony","Non-violent offences",1,"Right-handed individuals",5.55244177330722
"Did not reoffend","Males",30,"African-Americans",4,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",10,"Right-handed individuals",6.10650862892961
"Did reoffend","Females",32,"Caucasians",0,0,0,"Individuals convicted of a Felony","Non-violent offences",1,"Right-handed individuals",5.64551252612262
"Did not reoffend","Females",36,"African-Americans",1,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",2,"Right-handed individuals",5.68039270498798
"Did not reoffend","Males",23,"Caucasians",0,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",5,"Right-handed individuals",5.88414974625187
"Did reoffend","Males",36,"Hispanics",26,0,1,"Individuals convicted of a Felony","Non-violent offences",10,"Right-handed individuals",5.76025475681748
"Did not reoffend","Females",43,"Caucasians",0,0,0,"Individuals convicted of a Felony","Non-violent offences",1,"Right-handed individuals",5.71388842381725
"Did not reoffend","Males",41,"African-Americans",7,0,0,"Individuals convicted of a Felony","Non-violent offences",9,"Right-handed individuals",5.91746015772682
"Did reoffend","Males",25,"African-Americans",0,0,0,"Individuals convicted of a Felony","Violent offences",2,"Left-handed individuals",5.68101651460126
"Did not reoffend","Males",58,"Caucasians",3,0,0,"Individuals convicted of a Felony","Non-violent offences",2,"Right-handed individuals",5.70648770758381
"Did not reoffend","Males",46,"Caucasians",1,0,0,"Individuals convicted of a Felony","Non-violent offences",1,"Right-handed individuals",5.24054072703367
"Did reoffend","Males",33,"African-Americans",0,0,0,"Individuals convicted of a Felony","Non-violent offences",1,"Right-handed individuals",5.27511454200413
"Did not reoffend","Males",49,"African-Americans",0,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",1,"Right-handed individuals",5.52022889532111
"Did not reoffend","Males",33,"Others",0,0,0,"Individuals convicted of a Felony","Non-violent offences",1,"Right-handed individuals",6.20471717453797
