"loan_amnt","term","home_ownership","annual_inc","loan_status","sub_grade_int_map","region","sex","age","vegetarian","weight"
1200,"36 month loans","Home owners",26000,"Positive",3,"US South inhabitants","Males",25.072,"Vegetarians",140.461538461538
6000,"36 month loans","Paying off mortgage",32000,"Positive",2,"US South inhabitants","Males",26.704,"Vegetarians",151.538461538462
7050,"36 month loans","Paying off mortgage",35000,"Negative",2,"US South inhabitants","Males",27.52,"Vegetarians",153.961538461538
7200,"36 month loans","Paying off mortgage",28000,"Positive",4,"US South inhabitants","Males",25.616,"Vegetarians",154.307692307692
18500,"36 month loans","Renters",66000,"Positive",3,"US South inhabitants","Males",35.952,"Vegetarians",180.384615384615
10000,"36 month loans","Paying off mortgage",40000,"Positive",3,"US South inhabitants","Males",28.88,"Vegetarians",160.769230769231
7800,"36 month loans","Home owners",36000,"Positive",3,"US South inhabitants","Males",27.792,"Vegetarians",155.692307692308
13200,"60 month loans","Renters",46740,"Negative",6,"US South inhabitants","Males",30.71328,"Vegetarians",168.153846153846
35000,"36 month loans","Paying off mortgage",95000,"Positive",3,"US South inhabitants","Males",43.84,"Vegetarians",218.461538461538
2000,"36 month loans","Paying off mortgage",130000,"Positive",3,"US South inhabitants","Males",53.36,"Vegetarians",142.307692307692
8000,"36 month loans","Paying off mortgage",21658,"Negative",4,"US South inhabitants","Males",23.890976,"Vegetarians",156.153846153846
6000,"36 month loans","Renters",65000,"Negative",4,"US South inhabitants","Males",35.68,"Vegetarians",151.538461538462
1000,"36 month loans","Paying off mortgage",183000,"Positive",2,"US South inhabitants","Males",67.776,"Vegetarians",140
5600,"36 month loans","Paying off mortgage",40000,"Positive",5,"US South inhabitants","Males",28.88,"Vegetarians",150.615384615385
6925,"36 month loans","Paying off mortgage",62100,"Positive",7,"US South inhabitants","Males",34.8912,"Vegetarians",153.673076923077
1500,"36 month loans","Paying off mortgage",40000,"Negative",4,"US South inhabitants","Males",28.88,"Vegetarians",141.153846153846
25000,"36 month loans","Renters",86215,"Positive",2,"US South inhabitants","Males",41.45048,"Vegetarians",195.384615384615
6600,"36 month loans","Home owners",52000,"Positive",4,"US South inhabitants","Males",32.144,"Vegetarians",152.923076923077
5400,"36 month loans","Renters",60000,"Positive",4,"US South inhabitants","Males",34.32,"Vegetarians",150.153846153846
28775,"60 month loans","Paying off mortgage",60000,"Positive",4,"US South inhabitants","Males",34.32,"Vegetarians",204.096153846154
15000,"36 month loans","Paying off mortgage",42000,"Positive",3,"US South inhabitants","Males",29.424,"Vegetarians",172.307692307692
8000,"36 month loans","Paying off mortgage",1e+05,"Positive",3,"US South inhabitants","Males",45.2,"Vegetarians",156.153846153846
15000,"36 month loans","Paying off mortgage",60000,"Positive",2,"US South inhabitants","Males",34.32,"Vegetarians",172.307692307692
17625,"60 month loans","Home owners",40000,"Positive",4,"US South inhabitants","Males",28.88,"Vegetarians",178.365384615385
7825,"36 month loans","Paying off mortgage",47000,"Positive",5,"US South inhabitants","Males",30.784,"Vegetarians",155.75
8400,"36 month loans","Home owners",30000,"Positive",3,"US South inhabitants","Males",26.16,"Vegetarians",157.076923076923
28000,"36 month loans","Paying off mortgage",60000,"Positive",2,"US South inhabitants","Males",34.32,"Vegetarians",202.307692307692
10000,"36 month loans","Paying off mortgage",33000,"Positive",3,"US South inhabitants","Males",26.976,"Vegetarians",160.769230769231
3000,"36 month loans","Renters",22800,"Positive",3,"US South inhabitants","Males",24.2016,"Vegetarians",144.615384615385
16000,"60 month loans","Renters",90000,"Positive",4,"US South inhabitants","Males",42.48,"Vegetarians",174.615384615385
5000,"36 month loans","Paying off mortgage",20000,"Positive",3,"US South inhabitants","Males",23.44,"Vegetarians",149.230769230769
10000,"60 month loans","Home owners",42000,"Positive",4,"US South inhabitants","Males",29.424,"Vegetarians",160.769230769231
6200,"36 month loans","Renters",65000,"Positive",2,"US South inhabitants","Males",35.68,"Vegetarians",152
5500,"36 month loans","Renters",44800,"Positive",1,"US South inhabitants","Males",30.1856,"Vegetarians",150.384615384615
17200,"60 month loans","Renters",39100,"Positive",6,"US South inhabitants","Males",28.6352,"Vegetarians",177.384615384615
22750,"60 month loans","Paying off mortgage",51722,"Negative",7,"US South inhabitants","Males",32.068384,"Vegetarians",190.192307692308
21300,"60 month loans","Renters",53284,"Positive",5,"US South inhabitants","Males",32.493248,"Vegetarians",186.846153846154
5400,"36 month loans","Paying off mortgage",45000,"Positive",6,"US South inhabitants","Males",30.24,"Vegetarians",150.153846153846
12000,"60 month loans","Paying off mortgage",93800,"Positive",7,"US South inhabitants","Males",43.5136,"Vegetarians",165.384615384615
4575,"36 month loans","Paying off mortgage",35000,"Positive",4,"US South inhabitants","Males",27.52,"Vegetarians",148.25
4800,"36 month loans","Renters",75000,"Positive",2,"US South inhabitants","Males",38.4,"Vegetarians",148.769230769231
8000,"36 month loans","Renters",30000,"Positive",2,"US South inhabitants","Males",26.16,"Vegetarians",156.153846153846
24000,"36 month loans","Paying off mortgage",65000,"Positive",3,"US South inhabitants","Males",35.68,"Vegetarians",193.076923076923
10200,"36 month loans","Paying off mortgage",75000,"Positive",1,"US South inhabitants","Males",38.4,"Vegetarians",161.230769230769
8500,"36 month loans","Renters",40000,"Negative",6,"US South inhabitants","Males",28.88,"Vegetarians",157.307692307692
12000,"36 month loans","Home owners",43000,"Negative",6,"US South inhabitants","Males",29.696,"Vegetarians",165.384615384615
11300,"60 month loans","Home owners",45000,"Positive",7,"US South inhabitants","Males",30.24,"Vegetarians",163.769230769231
10000,"36 month loans","Paying off mortgage",57692,"Negative",3,"US South inhabitants","Males",33.692224,"Vegetarians",160.769230769231
5000,"36 month loans","Paying off mortgage",95000,"Negative",5,"US South inhabitants","Males",43.84,"Vegetarians",149.230769230769
6000,"36 month loans","Paying off mortgage",81000,"Positive",4,"US South inhabitants","Males",40.032,"Vegetarians",151.538461538462
18000,"60 month loans","Paying off mortgage",63000,"Positive",4,"US South inhabitants","Males",35.136,"Vegetarians",179.230769230769
4500,"36 month loans","Renters",26000,"Positive",4,"US South inhabitants","Males",25.072,"Vegetarians",148.076923076923
32000,"60 month loans","Paying off mortgage",55000,"Positive",7,"US South inhabitants","Males",32.96,"Vegetarians",211.538461538462
12800,"36 month loans","Paying off mortgage",40000,"Negative",2,"US South inhabitants","Males",28.88,"Vegetarians",167.230769230769
5500,"36 month loans","Renters",23000,"Positive",3,"US South inhabitants","Males",24.256,"Vegetarians",150.384615384615
8000,"36 month loans","Paying off mortgage",110561,"Positive",3,"US South inhabitants","Males",48.072592,"Vegetarians",156.153846153846
7200,"36 month loans","Renters",77500,"Positive",5,"US South inhabitants","Males",39.08,"Vegetarians",154.307692307692
3600,"36 month loans","Renters",28000,"Positive",5,"US South inhabitants","Males",25.616,"Vegetarians",146
17150,"36 month loans","Paying off mortgage",2e+05,"Positive",4,"US South inhabitants","Males",72.4,"Vegetarians",177.269230769231
35000,"36 month loans","Paying off mortgage",180000,"Negative",3,"US South inhabitants","Males",66.96,"Vegetarians",218.461538461538
3600,"36 month loans","Paying off mortgage",92000,"Positive",2,"US West inhabitants","Males",43.024,"Vegetarians",146
10000,"36 month loans","Paying off mortgage",110000,"Positive",2,"US West inhabitants","Males",47.92,"Vegetarians",160.769230769231
8000,"36 month loans","Paying off mortgage",33262,"Negative",1,"US West inhabitants","Males",27.047264,"Vegetarians",156.153846153846
4500,"36 month loans","Home owners",50000,"Positive",4,"US West inhabitants","Males",31.6,"Vegetarians",148.076923076923
16000,"36 month loans","Renters",127000,"Positive",4,"US West inhabitants","Males",52.544,"Vegetarians",174.615384615385
6350,"36 month loans","Home owners",30000,"Positive",3,"US West inhabitants","Males",26.16,"Vegetarians",152.346153846154
6000,"36 month loans","Renters",53000,"Positive",2,"US West inhabitants","Males",32.416,"Vegetarians",151.538461538462
1000,"36 month loans","Renters",24000,"Positive",5,"US West inhabitants","Males",24.528,"Vegetarians",140
6500,"36 month loans","Renters",35500,"Negative",2,"US West inhabitants","Males",27.656,"Vegetarians",152.692307692308
13500,"36 month loans","Paying off mortgage",90000,"Positive",1,"US West inhabitants","Males",42.48,"Vegetarians",168.846153846154
8000,"36 month loans","Renters",50000,"Positive",4,"US West inhabitants","Males",31.6,"Vegetarians",156.153846153846
10000,"60 month loans","Paying off mortgage",40000,"Positive",5,"US West inhabitants","Males",28.88,"Vegetarians",160.769230769231
31450,"36 month loans","Renters",70000,"Positive",5,"US West inhabitants","Males",37.04,"Vegetarians",210.269230769231
5000,"36 month loans","Paying off mortgage",77875,"Positive",1,"US West inhabitants","Males",39.182,"Vegetarians",149.230769230769
1200,"36 month loans","Paying off mortgage",27600,"Positive",4,"US West inhabitants","Males",25.5072,"Vegetarians",140.461538461538
4900,"36 month loans","Paying off mortgage",65000,"Negative",5,"US West inhabitants","Males",35.68,"Vegetarians",149
3600,"60 month loans","Renters",30000,"Negative",8,"US West inhabitants","Males",26.16,"Vegetarians",146
12000,"36 month loans","Renters",40000,"Positive",3,"US West inhabitants","Males",28.88,"Vegetarians",165.384615384615
12000,"36 month loans","Paying off mortgage",49000,"Positive",3,"US West inhabitants","Males",31.328,"Vegetarians",165.384615384615
9175,"36 month loans","Renters",23000,"Negative",4,"US West inhabitants","Males",24.256,"Vegetarians",158.865384615385
10000,"36 month loans","Renters",45000,"Positive",2,"US West inhabitants","Males",30.24,"Vegetarians",160.769230769231
16000,"36 month loans","Paying off mortgage",69250,"Positive",3,"US West inhabitants","Males",36.836,"Vegetarians",174.615384615385
10000,"36 month loans","Home owners",33000,"Negative",3,"US West inhabitants","Males",26.976,"Vegetarians",160.769230769231
21000,"36 month loans","Paying off mortgage",105000,"Negative",2,"US West inhabitants","Males",46.56,"Vegetarians",186.153846153846
8000,"36 month loans","Renters",40000,"Positive",3,"US West inhabitants","Males",28.88,"Vegetarians",156.153846153846
9600,"36 month loans","Renters",80000,"Positive",7,"US West inhabitants","Males",39.76,"Vegetarians",159.846153846154
30000,"60 month loans","Paying off mortgage",88000,"Negative",6,"US West inhabitants","Males",41.936,"Vegetarians",206.923076923077
16000,"60 month loans","Renters",84500,"Negative",7,"US West inhabitants","Males",40.984,"Vegetarians",174.615384615385
30000,"60 month loans","Renters",153000,"Positive",6,"US West inhabitants","Males",59.616,"Vegetarians",206.923076923077
13700,"36 month loans","Renters",65000,"Positive",2,"US West inhabitants","Males",35.68,"Vegetarians",169.307692307692
2500,"36 month loans","Renters",41200,"Positive",3,"US West inhabitants","Males",29.2064,"Vegetarians",143.461538461538
8000,"36 month loans","Paying off mortgage",65000,"Positive",2,"US West inhabitants","Males",35.68,"Vegetarians",156.153846153846
1600,"36 month loans","Renters",45000,"Positive",4,"US West inhabitants","Males",30.24,"Vegetarians",141.384615384615
7000,"36 month loans","Renters",60000,"Positive",4,"US West inhabitants","Males",34.32,"Vegetarians",153.846153846154
5000,"36 month loans","Renters",44000,"Positive",1,"US West inhabitants","Males",29.968,"Vegetarians",149.230769230769
7000,"36 month loans","Renters",24000,"Positive",4,"US West inhabitants","Males",24.528,"Vegetarians",153.846153846154
25000,"36 month loans","Paying off mortgage",114000,"Positive",2,"US West inhabitants","Males",49.008,"Vegetarians",195.384615384615
15000,"60 month loans","Paying off mortgage",62000,"Positive",6,"US West inhabitants","Males",34.864,"Vegetarians",172.307692307692
10000,"36 month loans","Paying off mortgage",65000,"Positive",2,"US West inhabitants","Males",35.68,"Vegetarians",160.769230769231
7725,"36 month loans","Home owners",50000,"Positive",6,"US West inhabitants","Males",31.6,"Vegetarians",155.519230769231
10000,"36 month loans","Home owners",60000,"Positive",4,"US West inhabitants","Males",34.32,"Vegetarians",160.769230769231
10000,"36 month loans","Renters",55000,"Positive",3,"US West inhabitants","Males",32.96,"Vegetarians",160.769230769231
20000,"60 month loans","Paying off mortgage",75000,"Positive",3,"US West inhabitants","Males",38.4,"Vegetarians",183.846153846154
8000,"36 month loans","Paying off mortgage",43000,"Positive",5,"US West inhabitants","Males",29.696,"Vegetarians",156.153846153846
5500,"36 month loans","Paying off mortgage",95000,"Positive",3,"US West inhabitants","Males",43.84,"Vegetarians",150.384615384615
24000,"36 month loans","Renters",60250,"Positive",4,"US West inhabitants","Males",34.388,"Vegetarians",193.076923076923
12000,"36 month loans","Paying off mortgage",1e+05,"Positive",2,"US West inhabitants","Males",45.2,"Vegetarians",165.384615384615
13000,"60 month loans","Paying off mortgage",90000,"Positive",2,"US West inhabitants","Males",42.48,"Vegetarians",167.692307692308
24000,"60 month loans","Home owners",80000,"Positive",4,"US West inhabitants","Males",39.76,"Vegetarians",193.076923076923
20000,"36 month loans","Paying off mortgage",55000,"Positive",4,"US West inhabitants","Males",32.96,"Vegetarians",183.846153846154
15000,"36 month loans","Renters",90000,"Positive",2,"US West inhabitants","Males",42.48,"Vegetarians",172.307692307692
30500,"60 month loans","Home owners",130000,"Positive",8,"US West inhabitants","Males",53.36,"Vegetarians",208.076923076923
7200,"36 month loans","Paying off mortgage",47000,"Positive",3,"US West inhabitants","Males",30.784,"Vegetarians",154.307692307692
20000,"60 month loans","Renters",60000,"Negative",7,"US West inhabitants","Males",34.32,"Vegetarians",183.846153846154
20000,"36 month loans","Paying off mortgage",80000,"Positive",2,"US West inhabitants","Males",39.76,"Vegetarians",183.846153846154
20700,"36 month loans","Paying off mortgage",45000,"Positive",2,"US West inhabitants","Males",30.24,"Vegetarians",185.461538461538
8000,"36 month loans","Paying off mortgage",52000,"Positive",3,"US West inhabitants","Males",32.144,"Vegetarians",156.153846153846
8850,"36 month loans","Renters",84000,"Positive",3,"US West inhabitants","Males",40.848,"Vegetarians",158.115384615385
1000,"36 month loans","Renters",38500,"Positive",6,"US West inhabitants","Males",28.472,"Vegetarians",140
20000,"36 month loans","Paying off mortgage",121000,"Negative",3,"US West inhabitants","Males",50.912,"Vegetarians",183.846153846154
10000,"36 month loans","Renters",1e+05,"Positive",4,"US West inhabitants","Males",45.2,"Vegetarians",160.769230769231
9925,"36 month loans","Paying off mortgage",58000,"Positive",3,"US West inhabitants","Males",33.776,"Vegetarians",160.596153846154
20800,"36 month loans","Renters",105000,"Negative",6,"US West inhabitants","Males",46.56,"Vegetarians",185.692307692308
12000,"36 month loans","Renters",107000,"Positive",2,"US West inhabitants","Males",47.104,"Vegetarians",165.384615384615
18000,"60 month loans","Paying off mortgage",78000,"Negative",6,"US West inhabitants","Males",39.216,"Vegetarians",179.230769230769
21000,"36 month loans","Paying off mortgage",80000,"Positive",5,"US West inhabitants","Males",39.76,"Vegetarians",186.153846153846
21000,"36 month loans","Paying off mortgage",91746,"Negative",5,"US West inhabitants","Males",42.954912,"Vegetarians",186.153846153846
11050,"36 month loans","Renters",48000,"Positive",2,"US West inhabitants","Males",31.056,"Vegetarians",163.192307692308
12000,"36 month loans","Renters",50000,"Negative",4,"US West inhabitants","Males",31.6,"Vegetarians",165.384615384615
2500,"36 month loans","Renters",45632,"Positive",1,"US West inhabitants","Males",30.411904,"Vegetarians",143.461538461538
14000,"36 month loans","Renters",52000,"Positive",3,"US West inhabitants","Males",32.144,"Vegetarians",170
16000,"36 month loans","Renters",56000,"Negative",4,"US West inhabitants","Males",33.232,"Vegetarians",174.615384615385
17300,"36 month loans","Home owners",40300,"Positive",1,"US West inhabitants","Males",28.9616,"Vegetarians",177.615384615385
17000,"36 month loans","Paying off mortgage",1e+05,"Negative",3,"US West inhabitants","Males",45.2,"Vegetarians",176.923076923077
12000,"36 month loans","Paying off mortgage",65000,"Positive",2,"US West inhabitants","Males",35.68,"Vegetarians",165.384615384615
6000,"36 month loans","Renters",33342.4,"Positive",4,"US West inhabitants","Males",27.0691328,"Vegetarians",151.538461538462
2500,"36 month loans","Renters",34611,"Positive",3,"US West inhabitants","Males",27.414192,"Vegetarians",143.461538461538
13750,"36 month loans","Paying off mortgage",42000,"Negative",4,"US West inhabitants","Males",29.424,"Vegetarians",169.423076923077
6600,"36 month loans","Renters",95000,"Positive",4,"US West inhabitants","Males",43.84,"Vegetarians",152.923076923077
11000,"60 month loans","Paying off mortgage",70000,"Negative",8,"US West inhabitants","Males",37.04,"Vegetarians",163.076923076923
10200,"60 month loans","Renters",60000,"Positive",5,"US West inhabitants","Males",34.32,"Vegetarians",161.230769230769
3000,"36 month loans","Paying off mortgage",50000,"Positive",4,"US West inhabitants","Males",31.6,"Vegetarians",144.615384615385
12000,"36 month loans","Renters",47000,"Positive",3,"US West inhabitants","Males",30.784,"Vegetarians",165.384615384615
8000,"36 month loans","Renters",40000,"Positive",1,"US West inhabitants","Males",28.88,"Vegetarians",156.153846153846
8000,"36 month loans","Renters",48000,"Positive",4,"US West inhabitants","Males",31.056,"Vegetarians",156.153846153846
7500,"36 month loans","Renters",58000,"Negative",4,"US West inhabitants","Males",33.776,"Vegetarians",155
36475,"60 month loans","Renters",144000,"Positive",7,"US West inhabitants","Males",57.168,"Vegetarians",221.865384615385
20000,"60 month loans","Home owners",71000,"Negative",7,"US West inhabitants","Males",37.312,"Vegetarians",183.846153846154
15000,"60 month loans","Paying off mortgage",87500,"Positive",6,"US West inhabitants","Males",41.8,"Vegetarians",172.307692307692
32000,"36 month loans","Renters",2e+05,"Positive",4,"US West inhabitants","Males",72.4,"Vegetarians",211.538461538462
6000,"36 month loans","Renters",34560,"Positive",5,"US West inhabitants","Males",27.40032,"Vegetarians",151.538461538462
8500,"36 month loans","Renters",57000,"Positive",4,"US West inhabitants","Males",33.504,"Vegetarians",157.307692307692
26400,"60 month loans","Renters",60000,"Negative",6,"US West inhabitants","Males",34.32,"Vegetarians",198.615384615385
10000,"36 month loans","Renters",41864,"Positive",5,"US West inhabitants","Males",29.387008,"Vegetarians",160.769230769231
5000,"36 month loans","Renters",34000,"Positive",3,"US West inhabitants","Males",27.248,"Vegetarians",149.230769230769
25375,"60 month loans","Renters",160000,"Positive",6,"US West inhabitants","Males",61.52,"Vegetarians",196.25
15500,"36 month loans","Home owners",65000,"Positive",2,"US West inhabitants","Males",35.68,"Vegetarians",173.461538461538
6000,"36 month loans","Renters",40000,"Positive",5,"US West inhabitants","Males",28.88,"Vegetarians",151.538461538462
4000,"36 month loans","Paying off mortgage",90000,"Negative",2,"US West inhabitants","Males",42.48,"Vegetarians",146.923076923077
12600,"36 month loans","Renters",40000,"Positive",6,"US West inhabitants","Males",28.88,"Vegetarians",166.769230769231
8000,"36 month loans","Renters",47000,"Positive",3,"US West inhabitants","Males",30.784,"Vegetarians",156.153846153846
16750,"60 month loans","Renters",43680,"Positive",8,"US West inhabitants","Males",29.88096,"Vegetarians",176.346153846154
14400,"60 month loans","Renters",55000,"Negative",4,"US West inhabitants","Males",32.96,"Vegetarians",170.923076923077
16000,"60 month loans","Paying off mortgage",90000,"Negative",4,"US West inhabitants","Males",42.48,"Vegetarians",174.615384615385
19925,"60 month loans","Paying off mortgage",53000,"Positive",4,"US West inhabitants","Males",32.416,"Vegetarians",183.673076923077
1200,"36 month loans","Paying off mortgage",45000,"Positive",2,"US West inhabitants","Males",30.24,"Vegetarians",140.461538461538
8625,"36 month loans","Renters",57000,"Positive",6,"US West inhabitants","Males",33.504,"Vegetarians",157.596153846154
13600,"36 month loans","Paying off mortgage",90000,"Positive",5,"US West inhabitants","Males",42.48,"Vegetarians",169.076923076923
25900,"36 month loans","Paying off mortgage",54000,"Negative",4,"US West inhabitants","Males",32.688,"Vegetarians",197.461538461538
5000,"36 month loans","Renters",44000,"Negative",3,"US West inhabitants","Males",29.968,"Vegetarians",149.230769230769
3500,"36 month loans","Paying off mortgage",45300,"Positive",4,"US West inhabitants","Males",30.3216,"Vegetarians",145.769230769231
30000,"36 month loans","Paying off mortgage",86000,"Negative",2,"US West inhabitants","Males",41.392,"Vegetarians",206.923076923077
40000,"60 month loans","Home owners",92885,"Positive",7,"US West inhabitants","Males",43.26472,"Vegetarians",230
10000,"60 month loans","Paying off mortgage",83000,"Positive",4,"US West inhabitants","Males",40.576,"Vegetarians",160.769230769231
10000,"36 month loans","Paying off mortgage",85000,"Negative",6,"US West inhabitants","Males",41.12,"Vegetarians",160.769230769231
10000,"36 month loans","Paying off mortgage",50000,"Positive",1,"US West inhabitants","Males",31.6,"Vegetarians",160.769230769231
24000,"36 month loans","Renters",150000,"Positive",1,"US West inhabitants","Males",58.8,"Vegetarians",193.076923076923
24000,"60 month loans","Paying off mortgage",77400,"Positive",5,"US West inhabitants","Males",39.0528,"Vegetarians",193.076923076923
10000,"36 month loans","Paying off mortgage",102000,"Positive",3,"US West inhabitants","Males",45.744,"Vegetarians",160.769230769231
10000,"36 month loans","Paying off mortgage",60346,"Positive",3,"US West inhabitants","Males",34.414112,"Vegetarians",160.769230769231
15500,"36 month loans","Paying off mortgage",87840,"Positive",2,"US West inhabitants","Males",41.89248,"Vegetarians",173.461538461538
5000,"36 month loans","Renters",23000,"Positive",2,"US West inhabitants","Males",24.256,"Vegetarians",149.230769230769
10000,"36 month loans","Paying off mortgage",120000,"Positive",2,"US West inhabitants","Males",50.64,"Vegetarians",160.769230769231
20000,"36 month loans","Home owners",125000,"Positive",5,"US West inhabitants","Males",52,"Vegetarians",183.846153846154
14000,"36 month loans","Paying off mortgage",75000,"Positive",4,"US West inhabitants","Males",38.4,"Vegetarians",170
11200,"36 month loans","Paying off mortgage",54000,"Positive",3,"US West inhabitants","Males",32.688,"Vegetarians",163.538461538462
6000,"36 month loans","Paying off mortgage",45000,"Negative",7,"US West inhabitants","Males",30.24,"Vegetarians",151.538461538462
5000,"36 month loans","Paying off mortgage",90000,"Positive",2,"US West inhabitants","Males",42.48,"Vegetarians",149.230769230769
15000,"36 month loans","Paying off mortgage",150000,"Positive",2,"US West inhabitants","Males",58.8,"Vegetarians",172.307692307692
24000,"36 month loans","Renters",125000,"Positive",3,"US West inhabitants","Males",52,"Vegetarians",193.076923076923
24000,"60 month loans","Renters",95000,"Negative",5,"US West inhabitants","Males",43.84,"Vegetarians",193.076923076923
